S.NO,Module,CurrentTestType,TestCase,RequestType,EndPoint,StatusCode,StatusMessage,userLoginEmailId,password,programID,programDescription,programName,programStatus,batchName,batchDescription,batchStatus,batchNoOfClasses,userComments,userEduPg,userEduUg,userFirstName,userLastName,userLinkedinUrl,userLocation,userMiddleName,userPhoneNumber,roleId,userRoleStatus,userTimeZone,userVisaStatus,loginStatus,userLoginEmail,upadteRoleId,"updateuserRoleStatus
",userRoleProgramBatchStatus,status,classNo,classDate,classTopic,classStatus,classStaffId,classDescription,classComments,classNotes,classRecordingPath,classScheduleDates
15,Class,Integration Testing,Update class,Put,/updateClass/{{ClassId}},200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2025-10-06T19:04:41.220+00:01,MicroservicesHerokuDeploymentHH,active,U34,EveningClass,finishItSoon,notes2,path1.2.3.45.6.3.4.,2025-10-06T19:04:41.220+00:01
16,Batch,Integration Testing,Get batch details by program id,Get,/batches/program/{{programId}},200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Program,Integration Testing,Update program details be program name,Put,/program/{{programName}},200,ok,,,,Januarypgmstudents,NNumpyJanuarypgmmm,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,User,Integration Testing,User can update the user with roles,Put,/users/roleId/{{userId}},200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,R03,Active,,,,,,,,,,,,
19,User,Integration Testing,Update roleProgramBatchStatus by userId,PUT,/users/roleProgramBatchStatus/,200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,
20,User,Integration Testing,Update User by UserId,PUT,/users/userLogin/,200,OK,,,,,,,,,,,,,,,,,,,,,,,,Active,samandrewssalways@gmail.com,,,,Active,,,,,,,,,,
21,Class,Integration Testing,Update class recording path,Put,/updateClassrecording/{{ClassId}},200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,path10.20.244.3.4,
22,User,Integration Testing,Get users by roleId V2,GET,/v2/users,200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,User,Integration Testing,Get users by roleId,GET,/users/roles/,200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,User,Integration Testing,Get users batchId by userId,GET,/users/user/,200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,User,Integration Testing,GetsUserby Program Batches Id,GET,/users/programBatch/,200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,User,Integration Testing,Get users for program by programeId,GET,/users/programs/,200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Class,Integration Testing,Get all classes by StaffId,Get,/classesByStaff/{{StaffId}},200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Class,Integration Testing,GetallClassesByBatchId,Get,/classesbyBatch/{{BatchId}},200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Class,Integration Testing,GetallUpcomingClassesForStudent,Get,/upcomingClasses/{{StudentId}},200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Class,Integration Testing,GETclassRecordingByClassId,Get,/classRecordings/{{ClassId}},200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Class,Integration Testing,Get class recordings by BatchId,Get,/batchRecordings/{{BatchId}},200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Program,Integration Testing,Get all program details,Get,/allPrograms,200,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Program,Integration Testing,Get all program details with users,Get,/allProgramsWithUsers,200,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Batch,Integration Testing,Get All Batches Details,Get,/batches,200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,User,Integration Testing,User can able to get all the user records,Get,/users,200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,User,Integration Testing,User can able to get all the active user records,Get,/users/activeUsers,200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,User,Integration Testing,User can able to get Emails of all Active users,Get,/fetch-emails,200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,User,Integration Testing,User can get all roles,Get,/roles,200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,User,Integration Testing,User can get all user with roles,Get,/users/roles,200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,User,Integration Testing,User can see the count of each status,Get,/users/byStatus,200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Class,Integration Testing,Get all classes,Get,/allClasses,200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Class,Integration Testing,Get all recordings,Get,/classrecordings,200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,User,Integration Testing,Delete User by UserId,DELETE,/users/,200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Batch,Integration Testing,Delete a batch by batchid,Delete,/batches/{{batchId}},200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Program,Integration Testing,Delete a program by program Id,Delete,/deletebyprogid/{{programId}},200,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Program,Integration Testing,Program will be added successfully,Post,/saveprogram,201,Created,,,,dayT,jenkinsaaabbb,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Program,Integration Testing,Delete program by program name,Delete,/deletebyprogname/{{programName}},200,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Class,Integration Testing,Delete class,Delete,/deleteByClass/{{ClassId}},200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
